S. No.,RMS,Maximum,Range,Standard Deviation,Sample Variance,Standard Error,P10,y
177,1.127617312,1.794912316,3.73259718,1.131418505,1.280107835,0.113141851,-1.478047438,0
178,1.035996902,1.911933069,3.904424047,1.040735117,1.083129583,0.104073512,-1.461977023,0
179,1.083575841,1.995810428,3.876603619,1.088992213,1.185904039,0.108899221,-1.467035462,0
180,1.193970878,1.963203463,3.939438592,1.199775192,1.439460512,0.119977519,-1.599768389,0
181,1.189812917,1.985466088,3.937276613,1.190606418,1.417543642,0.119060642,-1.547718163,0
182,1.195738015,1.968054675,3.865006645,1.196234624,1.430977274,0.119623462,-1.478730545,0
183,1.151810875,1.992744798,3.829737086,1.157242092,1.339209259,0.115724209,-1.444556527,0
184,1.171804525,1.995285077,3.956238849,1.166409762,1.360511733,0.116640976,-1.654755857,0
185,1.10096657,1.948048834,3.925423887,1.106062837,1.223374998,0.110606284,-1.51485022,0
186,1.101332386,1.953353709,3.934037976,1.06657352,1.137579073,0.106657352,-1.18479688,0
187,1.038737163,1.935693157,3.90615264,1.043857406,1.089638284,0.104385741,-1.356621471,0
188,1.119832277,1.935267972,3.935177713,1.124973673,1.265565764,0.112497367,-1.477154062,0
189,1.088282534,1.956542647,3.920468386,1.093034013,1.194723353,0.109303401,-1.382394721,0
190,1.151573951,1.950426472,3.947267533,1.156134884,1.33664787,0.115613488,-1.600103714,0
191,1.116080539,1.992523195,3.940426414,1.121456811,1.257665379,0.112145681,-1.604429775,0
192,1.150706235,1.977407875,3.874298737,1.151967463,1.327029035,0.115196746,-1.607644762,0
193,1.13908502,1.965269114,3.957366869,1.143286269,1.307103492,0.114328627,-1.470086535,0
194,1.192103733,1.968492402,3.922475219,1.195182773,1.428461861,0.119518277,-1.443406042,0
195,1.116140492,1.934192978,3.878196637,1.1199385,1.254262243,0.11199385,-1.523557791,0
196,1.221330088,1.993170771,3.972690866,1.225114431,1.500905369,0.122511443,-1.493049513,0
197,1.151281479,1.995724107,3.97522366,1.156869363,1.338346722,0.115686936,-1.5818275,0
198,1.07824096,1.904030013,3.837496636,1.077997329,1.162078242,0.107799733,-1.374893331,0
199,1.190657549,1.987878831,3.957305923,1.193381445,1.424159273,0.119338144,-1.637866695,0
200,1.190216345,1.999591549,3.933530738,1.19588833,1.430148897,0.119588833,-1.606463806,0
201,1.048804731,1.977516362,3.876616953,1.052663419,1.108100274,0.105266342,-1.377741506,0
202,1.112479972,1.996296979,3.957199012,1.111807492,1.236115899,0.111180749,-1.34293744,0
203,1.159859258,1.954671318,3.947512287,1.165554867,1.358518148,0.116555487,-1.627931905,0
204,1.171854231,1.946809224,3.922786901,1.174868508,1.38031601,0.117486851,-1.74398522,0
205,1.265835942,1.994468807,3.935379171,1.270912006,1.615217326,0.127091201,-1.685855512,0
206,1.080310768,1.983647097,3.971261417,1.082994789,1.172877714,0.108299479,-1.318472852,0
207,1.076909927,1.961399438,3.848532784,1.08210455,1.170950257,0.108210455,-1.556531987,0
208,1.112179563,1.985255147,3.927456296,1.116830814,1.247311067,0.111683081,-1.459128606,0
209,1.166167282,1.972140995,3.949284321,1.171566657,1.372568431,0.117156666,-1.55476002,0
210,1.072826017,1.999759599,3.990704708,1.07821873,1.162555629,0.107821873,-1.447675242,0
211,1.112753321,1.922694036,3.902395524,1.103770286,1.218308844,0.110377029,-1.634255208,0
212,1.071860241,1.975984436,3.938526876,1.077249554,1.160466601,0.107724955,-1.491573879,0
213,1.250975497,1.955469332,3.942513127,1.19489027,1.427762759,0.119489027,-1.613242423,0
214,1.178476952,1.982378229,3.914728677,1.181757381,1.396550508,0.118175738,-1.619666669,0
215,1.211657469,1.939716598,3.919215706,1.217618024,1.482593651,0.121761802,-1.61634462,0
216,1.079920608,1.997232018,3.970803844,1.084918061,1.1770472,0.108491806,-1.443809061,0
217,1.234354728,1.984861585,3.94048387,1.240382263,1.538548157,0.124038226,-1.599857389,0
218,1.251765432,1.985723808,3.945058524,1.254837763,1.574617812,0.125483776,-1.659350469,0
219,1.091351994,1.977418476,3.975677473,1.096827229,1.20302997,0.109682723,-1.453073079,0
220,1.241092076,1.998348896,3.988897785,1.241169514,1.540501761,0.124116951,-1.612756692,0
221,1.22259449,1.973900071,3.919174836,1.227852351,1.507621396,0.122785235,-1.679188396,0
222,1.167120566,1.965834095,3.877763543,1.172734613,1.375306473,0.117273461,-1.606228791,0
223,1.15042408,1.978571715,3.829544945,1.153784025,1.331217576,0.115378403,-1.525566037,0
224,1.081153576,1.970414458,3.95988055,1.083076497,1.173054698,0.10830765,-1.699849607,0
225,1.228164428,1.958870132,3.935088139,1.209943986,1.463964449,0.120994399,-1.577661087,0
226,1.035727872,1.908248815,3.902018427,1.027777184,1.056325941,0.102777718,-1.458823353,0
227,1.162682852,1.995567014,3.970524077,1.160961684,1.347832031,0.116096168,-1.647837901,0
228,1.16507423,1.963083346,3.926746387,1.165821452,1.359139657,0.116582145,-1.415653674,0
229,1.165842937,1.966030857,3.945516677,1.166331447,1.360329045,0.116633145,-1.666517522,0
230,1.124661337,1.894219604,3.718763917,1.129217772,1.275132776,0.112921777,-1.558987044,0
231,1.152081821,1.939117978,3.93697863,1.135876908,1.290216349,0.113587691,-1.697197317,0
232,1.216928536,1.999892031,3.961112162,1.222533747,1.494588762,0.122253375,-1.765978976,0
233,1.140965548,1.942820117,3.892859576,1.146443077,1.31433173,0.114644308,-1.509303316,0
234,1.192053433,1.978886945,3.966444799,1.186819641,1.408540859,0.118681964,-1.391192711,0
235,1.159191722,1.972708865,3.959910652,1.165018784,1.357268766,0.116501878,-1.586326889,0
236,1.11699125,1.954075077,3.934295338,1.113665091,1.240249934,0.111366509,-1.471962266,0
237,1.171249955,1.962197949,3.906312561,1.17384307,1.377907554,0.117384307,-1.670988322,0
238,1.154417684,1.953012317,3.941802618,1.147352481,1.316417715,0.114735248,-1.673718252,0
239,1.189851246,1.970538089,3.914492032,1.19134189,1.4192955,0.119134189,-1.553396041,0
240,1.073851998,1.992559487,3.980309958,1.068295216,1.14125467,0.106829522,-1.390980209,0
241,1.136758283,1.819580937,3.742378064,1.135023098,1.288277432,0.11350231,-1.703782498,0
242,1.098487,1.954155775,3.903826576,1.10165525,1.213644291,0.110165525,-1.275678001,0
243,1.225397351,1.989386057,3.953032353,1.225993255,1.503059461,0.122599325,-1.671668207,0
244,1.201312413,1.954778776,3.920286539,1.205486166,1.453196896,0.120548617,-1.649115125,0
245,1.181229933,1.996875847,3.911115749,1.181177969,1.395181394,0.118117797,-1.50321632,0
246,1.156555739,1.983954471,3.95817602,1.157734408,1.340348958,0.115773441,-1.491067496,0
247,1.188799313,1.946314265,3.937027285,1.194088676,1.425847766,0.119408868,-1.628981328,0
248,1.143404664,1.962511931,3.938387423,1.14727821,1.316247292,0.114727821,-1.526844077,0
249,1.167077028,1.982002361,3.962004218,1.172791264,1.375439348,0.117279126,-1.524995674,0
250,1.224665068,1.957422885,3.935170623,1.227478784,1.506704166,0.122747878,-1.590924312,0
251,1.16990926,1.990062301,3.956749125,1.174459769,1.379355749,0.117445977,-1.656086307,0
252,1.236857434,1.973770618,3.956249575,1.240315449,1.538382413,0.124031545,-1.77047153,0
253,1.097284373,1.976365232,3.923828832,1.102604174,1.215735965,0.110260417,-1.459161849,0
254,0.996813906,1.934306807,3.923776305,1.001651523,1.003305774,0.100165152,-1.386789589,0
255,1.121358513,1.999504577,3.998468065,1.116712881,1.247047659,0.111671288,-1.754677373,0
256,1.148329268,1.879831224,3.851182731,1.150616951,1.323919369,0.115061695,-1.565962296,0
257,1.068354836,1.962261961,3.91022529,1.059232766,1.121974053,0.105923277,-1.513072605,0
258,1.111837867,1.971933221,3.950509844,1.11741957,1.248626496,0.111741957,-1.555584014,0
259,1.185849535,1.94710033,3.939264539,1.19155834,1.419811278,0.119155834,-1.613608644,0
260,1.113036981,1.981093882,3.940430369,1.112300788,1.237213044,0.111230079,-1.599470365,0
261,1.124471751,1.959135885,3.885966646,1.120896218,1.256408331,0.112089622,-1.181175065,0
262,1.152516308,1.968437345,3.924545312,1.158246977,1.341536059,0.115824698,-1.539406094,0
263,1.1021066,1.947596026,3.936646253,1.089140842,1.186227774,0.108914084,-1.564204046,0
264,1.155493006,1.94557588,3.922523125,1.15039896,1.323417768,0.115039896,-1.544013414,0
265,1.143534833,1.990909297,3.910775467,1.147894585,1.317661978,0.114789458,-1.461849994,0
266,1.191800524,1.992920649,3.928084734,1.1977749,1.434664711,0.11977749,-1.675233778,0
267,1.178164626,1.827402845,3.809848834,1.184098568,1.402089418,0.118409857,-1.717571134,0
268,1.1858384,1.992634243,3.935750623,1.191718782,1.420193656,0.119171878,-1.693258957,0
269,1.205980312,1.990389491,3.954314141,1.204810216,1.451567656,0.120481022,-1.523858153,0
270,1.146717889,1.982828037,3.910836229,1.152456319,1.328155568,0.115245632,-1.570087869,0
271,1.148024816,1.996025664,3.975579198,1.153648005,1.330903719,0.1153648,-1.574757323,0
272,1.20132509,1.990645485,3.968124582,1.195607616,1.429477572,0.119560762,-1.553181747,0
273,1.180738723,1.956786011,3.907331563,1.185124387,1.404519812,0.118512439,-1.632562073,0
274,1.089408138,1.949007125,3.938521977,1.090747623,1.189730377,0.109074762,-1.490471344,0
275,1.178227873,1.998813881,3.99860882,1.18412202,1.402144959,0.118412202,-1.641554487,0
276,1.121435023,1.980056608,3.927109807,1.124172897,1.263764703,0.11241729,-1.492385847,0
277,1.085001306,1.780602356,3.760890408,1.066297253,1.136989832,0.106629725,-1.579370209,0
278,1.180333894,1.889910811,3.839815556,1.183914887,1.401654459,0.118391489,-1.629691365,0
279,1.259095104,1.938822116,3.937600574,1.256217131,1.578081479,0.125621713,-1.795841626,0
280,1.141261864,1.99579545,3.899177539,1.129694321,1.276209258,0.112969432,-1.5493225,0
281,1.1380625,1.968922093,3.949564713,1.119455401,1.253180395,0.11194554,-1.401491099,0
282,1.118822548,1.937334657,3.922525839,1.1242443,1.263925247,0.11242443,-1.462661887,0
283,1.145721008,1.977731725,3.974919524,1.150868281,1.324497799,0.115086828,-1.66884884,0
284,1.180646845,1.966272292,3.96424743,1.166921625,1.361706079,0.116692163,-1.769749445,0
285,1.113920862,1.974708663,3.974611911,1.11792386,1.249753756,0.111792386,-1.593548613,0
286,1.071111304,1.95608204,3.946882496,1.069252353,1.143300593,0.106925235,-1.458987638,0
287,1.163683546,1.949099519,3.927418561,1.169011976,1.366589,0.116901198,-1.63800587,0
288,1.158745651,1.962914146,3.956260573,1.163818042,1.354472434,0.116381804,-1.528522863,0
289,1.159102005,1.98061937,3.959347941,1.146963806,1.315525972,0.114696381,-1.548380333,0
290,1.15838014,1.904113924,3.888099821,1.158147181,1.341304893,0.115814718,-1.622131977,0
291,1.148609484,1.978901387,3.972880754,1.141909716,1.3039578,0.114190972,-1.58337991,0
292,1.080365762,1.886824234,3.878732089,1.085803532,1.17896931,0.108580353,-1.297397773,0
293,1.141851403,1.969400859,3.946910139,1.147079531,1.31579145,0.114707953,-1.553903124,0
294,1.108178818,1.967596128,3.953264312,1.110872855,1.2340385,0.111087286,-1.406490566,0
295,1.096238675,1.998811983,3.980803049,1.101085543,1.212389374,0.110108554,-1.359992008,0
296,1.147433716,1.980495704,3.965755534,1.153203932,1.329879308,0.115320393,-1.529993172,0
